,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
0,< 0 DM,6,critical,furniture/appliances,1169,unknown,> 7 years,4,4,67,none,own,2,skilled,1,yes,no
1,1 - 200 DM,48,good,furniture/appliances,5951,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,no,yes
2,unknown,12,critical,education,2096,< 100 DM,4 - 7 years,2,3,49,none,own,1,unskilled,2,no,no
3,< 0 DM,42,good,furniture/appliances,7882,< 100 DM,4 - 7 years,2,4,45,none,other,1,skilled,2,no,no
4,< 0 DM,24,poor,car,4870,< 100 DM,1 - 4 years,3,4,53,none,other,2,skilled,2,no,yes
5,unknown,36,good,education,9055,unknown,1 - 4 years,2,4,35,none,other,1,unskilled,2,yes,no
6,unknown,24,good,furniture/appliances,2835,500 - 1000 DM,> 7 years,3,4,53,none,own,1,skilled,1,no,no
7,1 - 200 DM,36,good,car,6948,< 100 DM,1 - 4 years,2,2,35,none,rent,1,management,1,yes,no
8,unknown,12,good,furniture/appliances,3059,> 1000 DM,4 - 7 years,2,4,61,none,own,1,unskilled,1,no,no
9,1 - 200 DM,30,critical,car,5234,< 100 DM,unemployed,4,2,28,none,own,2,management,1,no,yes
10,1 - 200 DM,12,good,car,1295,< 100 DM,< 1 year,3,1,25,none,rent,1,skilled,1,no,yes
11,< 0 DM,48,good,business,4308,< 100 DM,< 1 year,3,4,24,none,rent,1,skilled,1,no,yes
12,1 - 200 DM,12,good,furniture/appliances,1567,< 100 DM,1 - 4 years,1,1,22,none,own,1,skilled,1,yes,no
13,< 0 DM,24,critical,car,1199,< 100 DM,> 7 years,4,4,60,none,own,2,unskilled,1,no,yes
14,< 0 DM,15,good,car,1403,< 100 DM,1 - 4 years,2,4,28,none,rent,1,skilled,1,no,no
15,< 0 DM,24,good,furniture/appliances,1282,100 - 500 DM,1 - 4 years,4,2,32,none,own,1,unskilled,1,no,yes
16,unknown,24,critical,furniture/appliances,2424,unknown,> 7 years,4,4,53,none,own,2,skilled,1,no,no
17,< 0 DM,30,perfect,business,8072,unknown,< 1 year,2,3,25,bank,own,3,skilled,1,no,no
18,1 - 200 DM,24,good,car,12579,< 100 DM,> 7 years,4,2,44,none,other,1,management,1,yes,yes
19,unknown,24,good,furniture/appliances,3430,500 - 1000 DM,> 7 years,3,2,31,none,own,1,skilled,2,yes,no
20,unknown,9,critical,car,2134,< 100 DM,1 - 4 years,4,4,48,none,own,3,skilled,1,yes,no
21,< 0 DM,6,good,furniture/appliances,2647,500 - 1000 DM,1 - 4 years,2,3,44,none,rent,1,skilled,2,no,no
22,< 0 DM,10,critical,car,2241,< 100 DM,< 1 year,1,3,48,none,rent,2,unskilled,2,no,no
23,1 - 200 DM,12,critical,car,1804,100 - 500 DM,< 1 year,3,4,44,none,own,1,skilled,1,no,no
24,unknown,10,critical,furniture/appliances,2069,unknown,1 - 4 years,2,1,26,none,own,2,skilled,1,no,no
25,< 0 DM,6,good,furniture/appliances,1374,< 100 DM,1 - 4 years,1,2,36,bank,own,1,unskilled,1,yes,no
26,unknown,6,perfect,furniture/appliances,426,< 100 DM,> 7 years,4,4,39,none,own,1,unskilled,1,no,no
27,> 200 DM,12,very good,furniture/appliances,409,> 1000 DM,1 - 4 years,3,3,42,none,rent,2,skilled,1,no,no
28,1 - 200 DM,7,good,furniture/appliances,2415,< 100 DM,1 - 4 years,3,2,34,none,own,1,skilled,1,no,no
29,< 0 DM,60,poor,business,6836,< 100 DM,> 7 years,3,4,63,none,own,2,skilled,1,yes,yes
30,1 - 200 DM,18,good,business,1913,> 1000 DM,< 1 year,3,3,36,bank,own,1,skilled,1,yes,no
31,< 0 DM,24,good,furniture/appliances,4020,< 100 DM,1 - 4 years,2,2,27,store,own,1,skilled,1,no,no
32,1 - 200 DM,18,good,car,5866,100 - 500 DM,1 - 4 years,2,2,30,none,own,2,skilled,1,yes,no
33,unknown,12,critical,business,1264,unknown,> 7 years,4,4,57,none,rent,1,unskilled,1,no,no
34,> 200 DM,12,good,furniture/appliances,1474,< 100 DM,< 1 year,4,1,33,bank,own,1,management,1,yes,no
35,1 - 200 DM,45,critical,furniture/appliances,4746,< 100 DM,< 1 year,4,2,25,none,own,2,unskilled,1,no,yes
36,unknown,48,critical,education,6110,< 100 DM,1 - 4 years,1,3,31,bank,other,1,skilled,1,yes,no
37,> 200 DM,18,good,furniture/appliances,2100,< 100 DM,1 - 4 years,4,2,37,store,own,1,skilled,1,no,yes
38,> 200 DM,10,good,furniture/appliances,1225,< 100 DM,1 - 4 years,2,2,37,none,own,1,skilled,1,yes,no
39,1 - 200 DM,9,good,furniture/appliances,458,< 100 DM,1 - 4 years,4,3,24,none,own,1,skilled,1,no,no
40,unknown,30,good,furniture/appliances,2333,500 - 1000 DM,> 7 years,4,2,30,bank,own,1,management,1,no,no
41,1 - 200 DM,12,good,furniture/appliances,1158,500 - 1000 DM,1 - 4 years,3,1,26,none,own,1,skilled,1,yes,no
42,1 - 200 DM,18,poor,renovations,6204,< 100 DM,1 - 4 years,2,4,44,none,own,1,unskilled,2,yes,no
43,< 0 DM,30,critical,car,6187,100 - 500 DM,4 - 7 years,1,4,24,none,rent,2,skilled,1,no,no
44,< 0 DM,48,critical,car,6143,< 100 DM,> 7 years,4,4,58,store,other,2,unskilled,1,no,yes
45,unknown,11,critical,car,1393,< 100 DM,< 1 year,4,4,35,none,own,2,management,1,no,no
46,unknown,36,good,furniture/appliances,2299,500 - 1000 DM,> 7 years,4,4,39,none,own,1,skilled,1,no,no
47,< 0 DM,6,good,car,1352,500 - 1000 DM,unemployed,1,2,23,none,rent,1,unemployed,1,yes,no
48,unknown,11,critical,car,7228,< 100 DM,1 - 4 years,1,4,39,none,own,2,unskilled,1,no,no
49,unknown,12,good,furniture/appliances,2073,100 - 500 DM,1 - 4 years,4,2,28,none,own,1,skilled,1,no,no
50,1 - 200 DM,24,poor,furniture/appliances,2333,unknown,< 1 year,4,2,29,bank,own,1,unskilled,1,no,no
51,1 - 200 DM,27,poor,car,5965,< 100 DM,> 7 years,1,2,30,none,own,2,management,1,yes,no
52,unknown,12,good,furniture/appliances,1262,< 100 DM,1 - 4 years,3,2,25,none,own,1,skilled,1,no,no
53,unknown,18,good,car,3378,unknown,1 - 4 years,2,1,31,none,own,1,skilled,1,yes,no
54,1 - 200 DM,36,poor,car,2225,< 100 DM,> 7 years,4,4,57,bank,other,2,skilled,1,yes,yes
55,unknown,6,very good,car,783,unknown,1 - 4 years,1,2,26,store,own,1,unskilled,2,no,no
56,1 - 200 DM,12,good,furniture/appliances,6468,unknown,unemployed,2,1,52,none,own,1,management,1,yes,yes
57,unknown,36,critical,furniture/appliances,9566,< 100 DM,1 - 4 years,2,2,31,store,own,2,skilled,1,no,no
58,> 200 DM,18,good,car,1961,< 100 DM,> 7 years,3,2,23,none,own,1,management,1,no,no
59,< 0 DM,36,critical,furniture/appliances,6229,< 100 DM,< 1 year,4,4,23,none,rent,2,unskilled,1,yes,yes
60,1 - 200 DM,9,good,business,1391,< 100 DM,1 - 4 years,2,1,27,bank,own,1,skilled,1,yes,no
61,1 - 200 DM,15,critical,furniture/appliances,1537,unknown,> 7 years,4,4,50,none,own,2,skilled,1,yes,no
62,1 - 200 DM,36,perfect,business,1953,< 100 DM,> 7 years,4,4,61,none,other,1,management,1,yes,yes
63,1 - 200 DM,48,perfect,business,14421,< 100 DM,1 - 4 years,2,2,25,none,own,1,skilled,1,yes,yes
64,unknown,24,good,furniture/appliances,3181,< 100 DM,< 1 year,4,4,26,none,own,1,skilled,1,yes,no
65,unknown,27,good,renovations,5190,unknown,> 7 years,4,4,48,none,own,4,skilled,2,yes,no
66,unknown,12,good,furniture/appliances,2171,< 100 DM,< 1 year,2,2,29,bank,own,1,skilled,1,no,no
67,1 - 200 DM,12,good,car,1007,> 1000 DM,1 - 4 years,4,1,22,none,own,1,skilled,1,no,no
68,unknown,36,good,education,1819,< 100 DM,1 - 4 years,4,4,37,store,other,1,skilled,1,yes,yes
69,unknown,36,good,furniture/appliances,2394,unknown,1 - 4 years,4,4,25,none,own,1,skilled,1,no,no
70,unknown,36,good,car,8133,< 100 DM,1 - 4 years,1,2,30,bank,own,1,skilled,1,no,no
71,unknown,7,critical,furniture/appliances,730,unknown,> 7 years,4,2,46,none,rent,2,unskilled,1,yes,no
72,< 0 DM,8,critical,car,1164,< 100 DM,> 7 years,3,4,51,bank,other,2,management,2,yes,no
73,1 - 200 DM,42,critical,business,5954,< 100 DM,4 - 7 years,2,1,41,bank,own,2,unskilled,1,no,no
74,< 0 DM,36,good,education,1977,unknown,> 7 years,4,4,40,none,own,1,management,1,yes,yes
75,< 0 DM,12,critical,car,1526,< 100 DM,> 7 years,4,4,66,none,other,2,management,1,no,no
76,< 0 DM,42,good,furniture/appliances,3965,< 100 DM,< 1 year,4,3,34,none,own,1,skilled,1,no,yes
77,1 - 200 DM,11,poor,furniture/appliances,4771,< 100 DM,4 - 7 years,2,4,51,none,own,1,skilled,1,no,no
78,unknown,54,perfect,car,9436,unknown,1 - 4 years,2,2,39,none,own,1,unskilled,2,no,no
79,1 - 200 DM,30,good,furniture/appliances,3832,< 100 DM,< 1 year,2,1,22,none,own,1,skilled,1,no,no
80,unknown,24,good,furniture/appliances,5943,unknown,< 1 year,1,1,44,none,own,2,skilled,1,yes,yes
81,unknown,15,good,furniture/appliances,1213,500 - 1000 DM,> 7 years,4,3,47,store,own,1,skilled,1,yes,no
82,unknown,18,good,business,1568,100 - 500 DM,1 - 4 years,3,4,24,none,rent,1,unskilled,1,no,no
83,< 0 DM,24,good,car,1755,< 100 DM,> 7 years,4,4,58,none,own,1,unskilled,1,yes,no
84,< 0 DM,10,good,furniture/appliances,2315,< 100 DM,> 7 years,3,4,52,none,own,1,unskilled,1,no,no
85,unknown,12,critical,business,1412,< 100 DM,1 - 4 years,4,2,29,none,own,2,management,1,yes,no
86,1 - 200 DM,18,critical,furniture/appliances,1295,< 100 DM,< 1 year,4,1,27,none,own,2,skilled,1,no,no
87,1 - 200 DM,36,good,education,12612,100 - 500 DM,1 - 4 years,1,4,47,none,other,1,skilled,2,yes,yes
88,< 0 DM,18,good,car,2249,100 - 500 DM,4 - 7 years,4,3,30,none,own,1,management,2,yes,no
89,< 0 DM,12,perfect,renovations,1108,< 100 DM,4 - 7 years,4,3,28,none,own,2,skilled,1,no,yes
90,unknown,12,critical,furniture/appliances,618,< 100 DM,> 7 years,4,4,56,none,own,1,skilled,1,no,no
91,< 0 DM,12,critical,car,1409,< 100 DM,> 7 years,4,3,54,none,own,1,skilled,1,no,no
92,unknown,12,critical,furniture/appliances,797,unknown,> 7 years,4,3,33,bank,own,1,unskilled,2,no,yes
93,> 200 DM,24,critical,furniture/appliances,3617,unknown,> 7 years,4,4,20,none,rent,2,skilled,1,no,no
94,1 - 200 DM,12,good,car,1318,> 1000 DM,> 7 years,4,4,54,none,own,1,skilled,1,yes,no
95,1 - 200 DM,54,perfect,business,15945,< 100 DM,< 1 year,3,4,58,none,rent,1,skilled,1,yes,yes
96,unknown,12,critical,education,2012,unknown,4 - 7 years,4,2,61,none,own,1,skilled,1,no,no
97,1 - 200 DM,18,good,business,2622,100 - 500 DM,1 - 4 years,4,4,34,none,own,1,skilled,1,no,no
98,1 - 200 DM,36,critical,furniture/appliances,2337,< 100 DM,> 7 years,4,4,36,none,own,1,skilled,1,no,no
99,1 - 200 DM,20,poor,car,7057,unknown,4 - 7 years,3,4,36,bank,rent,2,management,2,yes,no
100,unknown,24,good,car,1469,100 - 500 DM,> 7 years,4,4,41,none,rent,1,unskilled,1,no,no
101,1 - 200 DM,36,good,furniture/appliances,2323,< 100 DM,4 - 7 years,4,4,24,none,rent,1,skilled,1,no,no
102,unknown,6,poor,furniture/appliances,932,< 100 DM,1 - 4 years,3,2,24,none,own,1,skilled,1,no,no
103,1 - 200 DM,9,critical,furniture/appliances,1919,< 100 DM,4 - 7 years,4,3,35,none,rent,1,skilled,1,yes,no
104,unknown,12,good,car,2445,unknown,< 1 year,2,4,26,none,rent,1,skilled,1,yes,no
105,1 - 200 DM,24,critical,car,11938,< 100 DM,1 - 4 years,2,3,39,none,own,2,management,2,yes,yes
106,unknown,18,very good,car,6458,< 100 DM,> 7 years,2,4,39,bank,own,2,management,2,yes,yes
107,1 - 200 DM,12,good,car,6078,< 100 DM,4 - 7 years,2,2,32,none,own,1,skilled,1,no,no
108,< 0 DM,24,good,furniture/appliances,7721,unknown,< 1 year,1,2,30,none,own,1,skilled,1,yes,no
109,1 - 200 DM,14,good,business,1410,500 - 1000 DM,> 7 years,1,2,35,none,own,1,skilled,1,yes,no
110,1 - 200 DM,6,poor,business,1449,100 - 500 DM,> 7 years,1,2,31,bank,own,2,skilled,2,no,no
111,> 200 DM,15,good,education,392,< 100 DM,< 1 year,4,4,23,none,rent,1,skilled,1,yes,no
112,1 - 200 DM,18,good,car,6260,< 100 DM,4 - 7 years,3,3,28,none,rent,1,unskilled,1,no,no
113,unknown,36,critical,car,7855,< 100 DM,1 - 4 years,4,2,25,store,own,2,skilled,1,yes,yes
114,< 0 DM,12,good,furniture/appliances,1680,500 - 1000 DM,> 7 years,3,1,35,none,own,1,skilled,1,no,no
115,unknown,48,critical,furniture/appliances,3578,unknown,> 7 years,4,1,47,none,own,1,skilled,1,yes,no
116,< 0 DM,42,good,furniture/appliances,7174,unknown,4 - 7 years,4,3,30,none,own,1,management,1,yes,yes
117,< 0 DM,10,critical,furniture/appliances,2132,unknown,< 1 year,2,3,27,none,rent,2,skilled,1,no,no
118,< 0 DM,33,critical,furniture/appliances,4281,500 - 1000 DM,1 - 4 years,1,4,23,none,own,2,skilled,1,no,yes
119,1 - 200 DM,12,critical,car,2366,500 - 1000 DM,4 - 7 years,3,3,36,none,own,1,management,1,yes,no
120,< 0 DM,21,good,furniture/appliances,1835,< 100 DM,1 - 4 years,3,2,25,none,own,2,skilled,1,yes,yes
121,unknown,24,critical,car,3868,< 100 DM,> 7 years,4,2,41,none,rent,2,management,1,yes,no
122,unknown,12,good,furniture/appliances,1768,< 100 DM,1 - 4 years,3,2,24,none,rent,1,unskilled,1,no,no
123,> 200 DM,10,critical,car,781,< 100 DM,> 7 years,4,4,63,none,other,2,skilled,1,yes,no
124,1 - 200 DM,18,good,furniture/appliances,1924,unknown,< 1 year,4,3,27,none,rent,1,skilled,1,no,yes
125,< 0 DM,12,critical,car,2121,< 100 DM,1 - 4 years,4,2,30,none,own,2,skilled,1,no,no
126,< 0 DM,12,good,furniture/appliances,701,< 100 DM,1 - 4 years,4,2,40,none,own,1,unskilled,1,no,no
127,1 - 200 DM,12,good,renovations,639,< 100 DM,1 - 4 years,4,2,30,none,own,1,skilled,1,no,yes
128,1 - 200 DM,12,critical,car,1860,< 100 DM,unemployed,4,2,34,none,own,2,management,1,yes,no
129,< 0 DM,12,critical,car,3499,< 100 DM,1 - 4 years,3,2,29,none,own,2,skilled,1,no,yes
130,1 - 200 DM,48,good,car,8487,unknown,4 - 7 years,1,2,24,none,own,1,skilled,1,no,no
131,< 0 DM,36,poor,education,6887,< 100 DM,1 - 4 years,4,3,29,store,own,1,skilled,1,yes,yes
132,unknown,15,good,furniture/appliances,2708,< 100 DM,< 1 year,2,3,27,bank,own,2,unskilled,1,no,no
133,unknown,18,good,furniture/appliances,1984,< 100 DM,1 - 4 years,4,4,47,bank,other,2,skilled,1,no,no
134,unknown,60,good,furniture/appliances,10144,100 - 500 DM,4 - 7 years,2,4,21,none,own,1,skilled,1,yes,no
135,unknown,12,critical,furniture/appliances,1240,unknown,> 7 years,4,2,38,none,own,2,skilled,1,yes,no
136,unknown,27,poor,car,8613,> 1000 DM,1 - 4 years,2,2,27,none,own,2,skilled,1,no,no
137,1 - 200 DM,12,good,furniture/appliances,766,500 - 1000 DM,1 - 4 years,4,3,66,none,own,1,unskilled,1,no,yes
138,1 - 200 DM,15,critical,furniture/appliances,2728,unknown,4 - 7 years,4,2,35,bank,own,3,skilled,1,yes,no
139,> 200 DM,12,good,furniture/appliances,1881,< 100 DM,1 - 4 years,2,2,44,none,rent,1,unskilled,1,yes,no
140,> 200 DM,6,good,car,709,> 1000 DM,< 1 year,2,2,27,none,own,1,unemployed,1,no,no
141,1 - 200 DM,36,good,furniture/appliances,4795,< 100 DM,< 1 year,4,1,30,none,own,1,management,1,yes,no
142,< 0 DM,27,good,furniture/appliances,3416,< 100 DM,1 - 4 years,3,2,27,none,own,1,management,1,no,no
143,< 0 DM,18,good,furniture/appliances,2462,< 100 DM,1 - 4 years,2,2,22,none,own,1,skilled,1,no,yes
144,unknown,21,critical,furniture/appliances,2288,< 100 DM,< 1 year,4,4,23,none,own,1,skilled,1,yes,no
145,1 - 200 DM,48,very good,business,3566,100 - 500 DM,4 - 7 years,4,2,30,none,own,1,skilled,1,no,no
146,< 0 DM,6,critical,car,860,< 100 DM,> 7 years,1,4,39,none,own,2,skilled,1,yes,no
147,unknown,12,critical,car,682,100 - 500 DM,4 - 7 years,4,3,51,none,own,2,skilled,1,yes,no
148,< 0 DM,36,critical,furniture/appliances,5371,< 100 DM,1 - 4 years,3,2,28,none,own,2,skilled,1,no,no
149,unknown,18,critical,furniture/appliances,1582,> 1000 DM,> 7 years,4,4,46,none,own,2,skilled,1,no,no
150,unknown,6,good,furniture/appliances,1346,100 - 500 DM,> 7 years,2,4,42,bank,other,1,skilled,2,yes,no
151,unknown,10,good,furniture/appliances,1924,< 100 DM,1 - 4 years,1,4,38,none,own,1,skilled,1,yes,no
152,> 200 DM,36,good,furniture/appliances,5848,< 100 DM,1 - 4 years,4,1,24,none,own,1,skilled,1,no,no
153,1 - 200 DM,24,critical,car,7758,> 1000 DM,> 7 years,2,4,29,none,rent,1,skilled,1,no,no
154,1 - 200 DM,24,poor,business,6967,100 - 500 DM,4 - 7 years,4,4,36,none,rent,1,management,1,yes,no
155,< 0 DM,12,good,furniture/appliances,1282,< 100 DM,1 - 4 years,2,4,20,none,rent,1,skilled,1,no,yes
156,< 0 DM,9,critical,renovations,1288,100 - 500 DM,> 7 years,3,4,48,none,own,2,skilled,2,no,no
157,< 0 DM,12,very good,education,339,< 100 DM,> 7 years,4,1,45,bank,own,1,unskilled,1,no,no
158,1 - 200 DM,24,good,car,3512,100 - 500 DM,4 - 7 years,2,3,38,bank,own,2,skilled,1,yes,no
159,unknown,6,critical,furniture/appliances,1898,unknown,1 - 4 years,1,2,34,none,own,2,unskilled,2,no,no
160,unknown,24,critical,furniture/appliances,2872,100 - 500 DM,> 7 years,3,4,36,none,own,1,skilled,2,yes,no
161,unknown,18,critical,car,1055,< 100 DM,< 1 year,4,1,30,none,own,2,skilled,1,no,no
162,unknown,15,good,furniture/appliances,1262,500 - 1000 DM,4 - 7 years,4,3,36,none,own,2,skilled,1,yes,no
163,1 - 200 DM,10,good,car,7308,< 100 DM,unemployed,2,4,70,bank,other,1,management,1,yes,no
164,unknown,36,good,car,909,500 - 1000 DM,> 7 years,4,4,36,none,own,1,skilled,1,no,no
165,unknown,6,good,furniture/appliances,2978,500 - 1000 DM,1 - 4 years,1,2,32,none,own,1,skilled,1,yes,no
166,< 0 DM,18,good,furniture/appliances,1131,< 100 DM,unemployed,4,2,33,none,own,1,skilled,1,no,yes
167,1 - 200 DM,11,good,furniture/appliances,1577,> 1000 DM,< 1 year,4,1,20,none,own,1,skilled,1,no,no
168,unknown,24,good,furniture/appliances,3972,< 100 DM,4 - 7 years,2,4,25,none,rent,1,skilled,1,yes,no
169,1 - 200 DM,24,critical,business,1935,< 100 DM,> 7 years,4,4,31,none,own,2,skilled,1,yes,yes
170,< 0 DM,15,perfect,car,950,< 100 DM,> 7 years,4,3,33,none,rent,2,skilled,2,no,yes
171,unknown,12,good,furniture/appliances,763,< 100 DM,1 - 4 years,4,1,26,none,own,1,skilled,1,yes,no
172,1 - 200 DM,24,poor,furniture/appliances,2064,< 100 DM,unemployed,3,2,34,none,own,1,management,1,yes,yes
173,1 - 200 DM,8,good,furniture/appliances,1414,< 100 DM,1 - 4 years,4,2,33,none,own,1,skilled,1,no,no
174,< 0 DM,21,poor,education,3414,< 100 DM,< 1 year,2,1,26,none,own,2,skilled,1,no,yes
175,unknown,30,very good,car,7485,unknown,unemployed,4,1,53,bank,own,1,management,1,yes,yes
176,< 0 DM,12,good,furniture/appliances,2577,< 100 DM,1 - 4 years,2,1,42,none,own,1,skilled,1,no,no
177,< 0 DM,6,critical,furniture/appliances,338,500 - 1000 DM,> 7 years,4,4,52,none,own,2,skilled,1,no,no
178,unknown,12,good,furniture/appliances,1963,< 100 DM,4 - 7 years,4,2,31,none,rent,2,management,2,yes,no
179,< 0 DM,21,critical,car,571,< 100 DM,> 7 years,4,4,65,none,own,2,skilled,1,no,no
180,unknown,36,poor,business,9572,< 100 DM,< 1 year,1,1,28,none,own,2,skilled,1,no,yes
181,1 - 200 DM,36,poor,business,4455,< 100 DM,1 - 4 years,2,2,30,store,own,2,management,1,yes,yes
182,< 0 DM,21,very good,car,1647,unknown,1 - 4 years,4,2,40,none,own,2,unskilled,2,no,yes
183,unknown,24,critical,furniture/appliances,3777,> 1000 DM,1 - 4 years,4,4,50,none,own,1,skilled,1,yes,no
184,1 - 200 DM,18,critical,car,884,< 100 DM,> 7 years,4,4,36,bank,own,1,skilled,2,yes,yes
185,unknown,15,critical,furniture/appliances,1360,< 100 DM,1 - 4 years,4,2,31,none,own,2,skilled,1,no,no
186,1 - 200 DM,9,very good,car,5129,< 100 DM,> 7 years,2,4,74,bank,other,1,management,2,yes,yes
187,1 - 200 DM,16,critical,car,1175,< 100 DM,unemployed,2,3,68,none,other,3,unemployed,1,yes,no
188,< 0 DM,12,good,furniture/appliances,674,100 - 500 DM,4 - 7 years,4,1,20,none,own,1,skilled,1,no,yes
189,1 - 200 DM,18,perfect,furniture/appliances,3244,< 100 DM,1 - 4 years,1,4,33,bank,own,2,skilled,1,yes,no
190,unknown,24,good,business,4591,> 1000 DM,1 - 4 years,2,3,54,none,own,3,management,1,yes,yes
191,1 - 200 DM,48,perfect,business,3844,100 - 500 DM,4 - 7 years,4,4,34,none,other,1,unskilled,2,no,yes
192,1 - 200 DM,27,good,business,3915,< 100 DM,1 - 4 years,4,2,36,none,own,1,skilled,2,yes,yes
193,unknown,6,good,furniture/appliances,2108,< 100 DM,4 - 7 years,2,2,29,none,rent,1,skilled,1,no,no
194,1 - 200 DM,45,good,furniture/appliances,3031,100 - 500 DM,1 - 4 years,4,4,21,none,rent,1,skilled,1,no,yes
195,1 - 200 DM,9,critical,education,1501,< 100 DM,> 7 years,2,3,34,none,own,2,management,1,yes,yes
196,unknown,6,critical,furniture/appliances,1382,< 100 DM,1 - 4 years,1,1,28,none,own,2,skilled,1,yes,no
